Name,Longitude,Latitude,Address,Neighborhood,Type,Status,Priority,Description,Link
Bankside,40.80813653,-73.93135269,,Mott Haven,Mixed-use,Completed,Yes,"The Bankside developments come with nearly 1,350 new rental units, over 34,000 square foot of public waterfront space, and 15,000 square feet of new retail space. Amenities include resident storage, a mail room, a pool, a laundry room, and EV charging stations. 30% of Bankside’s apartments are deemed affordable (rent-stabilized) for middle income earners through the Affordable New York program. Third at Bankside became move-in ready in 2022. Lincoln at Bankside followed upon its phase’s completion. ",https://rent.brookfieldproperties.com/location/new-york/bankside-collection/
Bronx Point,40.82017435,-73.93139797,,Lower Concourse,Mixed-use,Under Construction,Yes,"Bronx Point is a mixed-use development home to over a thousand new rental units, public park space, and essential community culture centers beside the 145th Street Bridge along the Harlem River Waterfront. Approximately 540 of these units are reserved permanently affordable for low income earners. Bronx Point is home to the Hip Hop Museum, celebrating the Bronx and the rich culture and history of hip hop. Mill Pond Park offers sorely-needed waterfront access to residents and other community members. BronxWork will administer an early childhood education center and provide social services to formerly homeless households upon the construction of their housing. The Billion Oyster Project, seeking to restore one billion oysters to New York Harbor’s waterways, hosts restoration site at Bronx point.",https://bronxpoint.nyc/
The Arches,40.81044172,-73.93110706,,Mott Haven,Residential,Completed,Yes,"The Arches is a mixed income residential
development offering 430 luxury one and two bedroom rental units in close proximity to the Harlem River waterfront. Among the amenities available to residents are 24-hour doorman service, a movie theater, a yoga studio, and much more. 60 units were set affordable for middle income earners through the Affordable New York program.",https://thearches.com/
Maven,40.80888418,-73.93159094,,Mott Haven,Mixed-use,Completed,Yes,"Maven is a mixed-use residential tower development offering 200 rental units along
the Harlem River waterfront. Among the amenities available to residents are a fitness center, a game room, electric vehicle charging stations, large-scale art installations, and much more. 60 units were reserved as affordable for middle income households through the Affordable New York program.",https://mavenbx.com/
The Motto,40.8095699,-73.93010339,,Mott Haven,Residential,Completed,Yes,"The Motto a mixed use residential
development offering 624 luxury rental units
 in close proximity to the Harlem River waterfront. Among the amenities available to residents are a game room, a co-working space, a resident fitness center, and much more. 80 units were set affordable for middle income earners through the Affordable New York program.",https://themottobx.com/
One38,40.80350477,-73.92055217,,Mott Haven,Residential,Completed,Yes,"ONE38 is a new residential development that 
will bring around 579 studio, one-bedroom, and 
2-bedroom apartments to Mott Haven. 131 of
these apartments guaranteed affordable for propsective renters. Its amenities will include a tennis court, indoor gaming rooms, indoor pool, rooftop terrace, and much, much more. ",https://liveone38.com/
Estela,40.8173646,-73.92990141,,Lower Concourse,Mixed-use,Completed,Yes,"Estela is a two-building mixed-use development offering 554 apartments in close proximity to the Harlem River waterfront. Among the amenities are indoor and outdoor lounges, a co-working space, multiple fitness and yoga rooms, and locally-painted artwork placed thorughtout the buildings. 164 units were set affordable for low and middle income earners through the Affordable New York program. Estela is also home to the Mott Haven Marketplace, an organic market and gourmet deli.
",https://estelabronx.com/
276 Grand Concourse,40.8138231,-73.92916965,,Lower Concourse,Residential,Completed,Yes,"276 Grand Concourse brings 215 apartments to the Lower Concourse area. Among its amenites are a resident cafe, library, business lounge, and much more. 60% of its units are set affordable through the Affordable New York program.
",https://276gc.com/
322 Grand Concourse,40.81461201,-73.92857597,,Lower Concourse,Residential,Completed,Yes,"322 Grand Concourse is a new residential complex in the Lower Concourse area bringing over 150 apartments to the neighborhood. Among its amenities are pet services, a rooftop lounge, a gym, and much more. 25 units were set affordable for low and middle income earners through the Affordable New York program. 322 Grand Concourse is one of the many buildings displaying the enormous residential and economic growth of the Lower Concourse area over the last 10 years.",
425 Grand Concourse,40.81697404,-73.92857723,425 Grand Concourse,Lower Concourse,Residential,Completed,Yes,"425 Grand Concourse is a new mixed-use development that will 277 residential units to the Lower Concourse area.  Among its amenties are a recreation, landscaped rooftop terrace, fitness center, and much more. 425 Grand Concourse is the largest Passive House construction in the United States, offering an airtight, temperature-controlling, and emissions-reducing design. Residents of 425 Grand Concourse should expect lower monthly utility bills due to its sustainable architecture.",https://www.425grandconcourse.com/
